codigo_ocorrencia2,aeronave_matricula,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_ano_fabricacao,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
45331,PRTKB,AVIÃO,AEROSPATIALE AND ALENIA,ATR-42-500,AT45,TURBOÉLICE,BIMOTOR,18600,2001.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DESCIDA,NENHUM,0
45332,PTUDD,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,1987.0,ESPECIALIZADA,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,SUBSTANCIAL,0
45333,PTGOO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201,IPAN,PISTÃO,MONOMOTOR,1800,1976.0,ESPECIALIZADA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,SUBSTANCIAL,0
45334,PRMHX,AVIÃO,AIRBUS INDUSTRIE,A320-214,A320,JATO,BIMOTOR,77000,2008.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,LEVE,0
45390,PTUEW,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,1989.0,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,SUBSTANCIAL,0
45391,PTLUP,AVIÃO,CESSNA AIRCRAFT,P210N,P210,PISTÃO,MONOMOTOR,1812,1982.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,SUBSTANCIAL,0
45392,PPMOF,HELICÓPTERO,ROBINSON HELICOPTER,R44,R44,TURBOEIXO,MONOMOTOR,1088,2000.0,PARTICULAR,PRESIDENTE JUSCELINO KUBITSCHEK,SANTA GENOVEVA/GOIÂNIA,DECOLAGEM,SUBSTANCIAL,0
45393,PTDHU,AVIÃO,PIPER AIRCRAFT,PA-30,PA30,PISTÃO,BIMOTOR,1633,1967.0,INSTRUÇÃO,FRANCISCO DE ASSIS,SANTOS DUMONT,POUSO,SUBSTANCIAL,0
45396,PRJMR,AVIÃO,PIPER AIRCRAFT,PA-34-220T,PA34,PISTÃO,BIMOTOR,2155,2005.0,PARTICULAR,JOÃO CORREA DA ROCHA,CARAJÁS,SUBIDA,LEVE,0
45397,PTYLS,HELICÓPTERO,EUROCOPTER FRANCE,AS 350 B2,AS50,TURBOEIXO,MONOMOTOR,2250,1997.0,MÚLTIPLA,SANTOS DUMONT,ANGRA DOS REIS,CRUZEIRO,SUBSTANCIAL,0
45399,PTEOT,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720C,PA32,PISTÃO,MONOMOTOR,1542,1977.0,TÁXI AÉREO,BELÉM/BRIGADEIRO PROTÁSIO DE OLIVEIRA,FAZENDA SANTO AMBRÓSIO,CRUZEIRO,NENHUM,0
45400,PROAF,AVIÃO,FOKKER,F28MK0100,F100,JATO,BIMOTOR,44450,1992.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,LEVE,0
45401,PUUSS,ULTRALEVE,***,P2004 BRAVO,ULAC,PISTÃO,MONOMOTOR,580,2007.0,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,LEVE,0
45405,PRVBO,AVIÃO,BOEING COMPANY,737-73V,B737,JATO,BIMOTOR,62595,2002.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,NENHUM,0
45407,PTUCL,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,1986.0,ESPECIALIZADA,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,SUBSTANCIAL,0
45408,PTGQT,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,1977.0,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,SUBSTANCIAL,1
45409,PRRGF,AVIÃO,BEECH AIRCRAFT,A36,BE36,PISTÃO,MONOMOTOR,1633,1999.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,DESTRUÍDA,3
45410,PTWBQ,AVIÃO,BEECH AIRCRAFT,B90,BE9L,TURBOÉLICE,BIMOTOR,4377,1969.0,TÁXI AÉREO,***,***,POUSO,DESTRUÍDA,0
45412,PTUDH,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,1988.0,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,DESTRUÍDA,2
45413,PPXRB,AVIÃO,***,ACROBATA,ZZZZ,PISTÃO,MONOMOTOR,1467,2007.0,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,DESTRUÍDA,1
45414,PTIRJ,AVIÃO,CESSNA AIRCRAFT,210L,C210,PISTÃO,MONOMOTOR,1723,1973.0,PARTICULAR,SANTO ANTÔNIO DE LEVERGER,MARECHAL RONDON,CORRIDA APÓS POUSO,SUBSTANCIAL,0
45415,PROEA,HELICÓPTERO,ROBINSON HELICOPTER,R22 BETA,R22,PISTÃO,MONOMOTOR,621,2005.0,INSTRUÇÃO,JACAREPAGUÁ,FORA DE AERODROMO,MANOBRA,SUBSTANCIAL,0
45417,PTVNO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,2155,1990.0,TÁXI AÉREO,TANGARÁ DA SERRA,MARECHAL RONDON,POUSO,SUBSTANCIAL,0
45447,PRRHF,AVIÃO,PIPER AIRCRAFT,PA-31,PA31,PISTÃO,BIMOTOR,2948,1969.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,NENHUM,0
45466,PTONX,AVIÃO,CESSNA AIRCRAFT,310R,C310,PISTÃO,BIMOTOR,2495,1979.0,PARTICULAR,FRANCISCO LACERDA JÚNIOR,AERODRÓMO ESTADUAL DE CAMPINAS / AMARAIS,POUSO,SUBSTANCIAL,0
45469,PTHQX,HELICÓPTERO,BELL HELICOPTER,206B,B06,TURBOEIXO,MONOMOTOR,1452,1983.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,ESTACIONAMENTO,LEVE,0
45470,PRWJS,AVIÃO,BOEING COMPANY,737-3Y0,B733,JATO,BIMOTOR,61234,1989.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DESCIDA,NENHUM,0
45487,PTLOU,AVIÃO,BEECH AIRCRAFT,95-B55,BE55,PISTÃO,BIMOTOR,2268,1982.0,TÁXI AÉREO,BELÉM/BRIGADEIRO PROTÁSIO DE OLIVEIRA,BAIÃO,DECOLAGEM,DESTRUÍDA,4
45490,PRLAB,AVIÃO,PIPER AIRCRAFT,PA-34-220T,PA34,PISTÃO,BIMOTOR,2155,1996.0,PARTICULAR,BELÉM/BRIGADEIRO PROTÁSIO DE OLIVEIRA,FAZENDA NOVA CONCEIÇÃO,SUBIDA,DESTRUÍDA,3
45522,PPHOR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,56-C-1,PAUL,PISTÃO,MONOMOTOR,660,1962.0,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,ARREMETIDA NO SOLO,SUBSTANCIAL,0
45523,PTICG,AVIÃO,PIPER AIRCRAFT,PA-28R-200,P28R,PISTÃO,MONOMOTOR,1179,1972.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,SUBSTANCIAL,0
45524,PPGKQ,AVIÃO,PIPER AIRCRAFT,PA-18,PA18,PISTÃO,MONOMOTOR,680,1950.0,INSTRUÇÃO,AEROPORTO ESTADUAL DE JUNDIAÍ,FORA DE AERODROMO,CORRIDA APÓS POUSO,SUBSTANCIAL,0
45525,PTWQY,AVIÃO,AIR TRACTOR,AT-401B,AT3P,PISTÃO,MONOMOTOR,2722,1999.0,AGRÍCOLA,FILIAL CAMPO FLORIDO,FILIAL CAMPO FLORIDO,CRUZEIRO,SUBSTANCIAL,0
45526,PRSTO,AVIÃO,CESSNA AIRCRAFT,A188B,C188,PISTÃO,MONOMOTOR,1814,1972.0,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,OUTRA FASE,DESTRUÍDA,1
45527,PTXAB,AVIÃO,PIPER AIRCRAFT,PA-25-235,PA25,PISTÃO,MONOMOTOR,1315,1975.0,ESPECIALIZADA,FORA DE AERODROMO,FORA DE AERODROMO,OUTRA FASE,SUBSTANCIAL,0
45528,PTOFD,AVIÃO,BEECH AIRCRAFT,F90,BE9T,TURBOÉLICE,BIMOTOR,4967,1981.0,PARTICULAR,CONGONHAS,VAL DE CANS / JÚLIO CEZAR RIBEIRO,APROXIMAÇÃO FINAL,SUBSTANCIAL,0
45564,PTUUJ,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202A,IPAN,PISTÃO,MONOMOTOR,1800,2007.0,PARTICULAR,FAZENDA SONORA ESTÂNCIA,FAZENDA SONORA ESTÂNCIA,VOO A BAIXA ALTURA,SUBSTANCIAL,0
45569,PTBHY,AVIÃO,CESSNA AIRCRAFT,180C,C180,PISTÃO,MONOMOTOR,1202,0.0,PARTICULAR,FORA DE AERODROMO,SÍTIO SANTA HELENA,CRUZEIRO,SUBSTANCIAL,0
45570,PRSRM,AVIÃO,PIPER AIRCRAFT,PA-25-235,PA25,PISTÃO,MONOMOTOR,1315,1965.0,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,OUTRA FASE,SUBSTANCIAL,0
45571,PTYAK,HELICÓPTERO,EUROCOPTER FRANCE,AS 350 BA,AS50,TURBOEIXO,MONOMOTOR,2100,1995.0,ADMINISTRAÇÃO DIRETA,VAL DE CANS / JÚLIO CEZAR RIBEIRO,VAL DE CANS / JÚLIO CEZAR RIBEIRO,OUTRA FASE,SUBSTANCIAL,0
45572,PTUHZ,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1800,1993.0,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,SUBSTANCIAL,0
45573,PTPTB,AVIÃO,CESSNA AIRCRAFT,208B,C208,TURBOÉLICE,MONOMOTOR,3969,1999.0,TÁXI AÉREO,FLORES,EDUARDO GOMES,DECOLAGEM,SUBSTANCIAL,1
45579,PTEZU,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,2073,1979.0,PARTICULAR,PARAÍSO DO TOCANTINS,BALSAS,POUSO,SUBSTANCIAL,0
45580,PRCHO,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307,2007.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,LEVE,0
45582,PTLNH,AVIÃO,BEECH AIRCRAFT,F33A,BE33,PISTÃO,MONOMOTOR,1542,1982.0,PARTICULAR,FAZENDA FONTANA,RONDONÓPOLIS,CORRIDA APÓS POUSO,LEVE,0
45584,PRLLA,AVIÃO,BEECH AIRCRAFT,58,BE58,PISTÃO,BIMOTOR,2449,1981.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,SUBSTANCIAL,0
45585,PTUZW,AVIÃO,EMBRAER,EMB-202A,IPAN,PISTÃO,MONOMOTOR,1800,2011.0,PARTICULAR,14 BIS,14 BIS,OUTRA FASE,SUBSTANCIAL,1
45586,PTUIL,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1800,1994.0,ESPECIALIZADA,FORA DE AERODROMO,FORA DE AERODROMO,OUTRA FASE,SUBSTANCIAL,0
45587,PTUME,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1800,2000.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,SUBSTANCIAL,0
45588,ECGLE,AVIÃO,AIRBUS INDUSTRIE,A340,***,JATO,BIMOTOR,237000,0.0,***,ADOLFO SUÁREZ MADRID–BARAJAS AIRPORT,ANTONIO CARLOS JOBIM / GALEÃO,DESCIDA,NENHUM,0
45589,PPSAM,AVIÃO,PILATUS,PC-12/47,PC12,TURBOÉLICE,MONOMOTOR,4760,2007.0,PARTICULAR,GOVERNADOR LUCAS NOGUEIRA GARCEZ (SBLN*),AERODRÓMO ESTADUAL DE CAMPINAS / AMARAIS,DECOLAGEM,SUBSTANCIAL,0
45594,PTGQD,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201,IPAN,PISTÃO,MONOMOTOR,1800,0.0,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,OUTRA FASE,SUBSTANCIAL,0
45596,PTNKS,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711C,P28R,PISTÃO,MONOMOTOR,1202,1977.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,DESTRUÍDA,3
45597,PTKPG,AVIÃO,BEECH AIRCRAFT,A56TC,BE56,PISTÃO,BIMOTOR,2717,1970.0,ADMINISTRAÇÃO DIRETA,CAMPO GRANDE,TERUEL IPANEMA ESTÂNCIA,POUSO,SUBSTANCIAL,0
45598,PPGXN,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,56-C,PAUL,PISTÃO,MONOMOTOR,660,1961.0,INSTRUÇÃO,ESTADUAL ARTHUR SIQUEIRA,ESTADUAL ARTHUR SIQUEIRA,DECOLAGEM,LEVE,0
45599,PTCJX,AVIÃO,PIPER AIRCRAFT,PA-23-250,PA27,PISTÃO,BIMOTOR,2358,1966.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,SUBSTANCIAL,0
45600,PTGGG,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201,IPAN,PISTÃO,MONOMOTOR,1800,1976.0,ESPECIALIZADA,FORA DE AERODROMO,FORA DE AERODROMO,OUTRA FASE,SUBSTANCIAL,0
45601,PRGTI,AVIÃO,BOEING COMPANY,737-8EH,B738,JATO,BIMOTOR,70533,2006.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,OUTRA FASE,NENHUM,0
45604,PRWJC,AVIÃO,BOEING COMPANY,737-341,B733,JATO,BIMOTOR,61234,1991.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,NENHUM,0
45609,PPPJN,AVIÃO,EMBRAER,ERJ 190-100 LR,E190,JATO,BIMOTOR,50300,2011.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,LEVE,0
45610,PPGGK,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,1992.0,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,ARREMETIDA NO SOLO,LEVE,0
45611,N954AR,AVIÃO,MCDONNELL DOUGLAS,MD-11F,***,JATO,TRIMOTOR,285990,1992.0,***,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,NENHUM,0
45612,PPGMG,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,1992.0,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,NENHUM,0
45618,PPHMF,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,56-C-1REBOCADOR,PAUL,PISTÃO,MONOMOTOR,520,1962.0,INSTRUÇÃO,BLUMENAU,BLUMENAU,VOO A BAIXA ALTURA,SUBSTANCIAL,0
45619,PUGCP,ULTRALEVE,***,FENIX 0202,ULAC,PISTÃO,MONOMOTOR,470,1990.0,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,SUBSTANCIAL,0
45624,PTXLI,AVIÃO,LEARJET,35A,LJ35,JATO,BIMOTOR,7711,1980.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,NENHUM,0
45625,PTEVP,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,2073,1979.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,LEVE,0
45647,PRLDG,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307,2009.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,NENHUM,0
45651,PPCIE,AVIÃO,CIRRUS DESIGN,SR20,SR20,PISTÃO,MONOMOTOR,1315,2000.0,PARTICULAR,AEROPORTO ESTADUAL DE JUNDIAÍ,AEROPORTO ESTADUAL DE JUNDIAÍ,CRUZEIRO,LEVE,0
45652,PPGQJ,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,1993.0,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,SUBSTANCIAL,0
45653,ZSSXY,AVIÃO,AIRBUS INDUSTRIE,A330-243,A332,JATO,BIMOTOR,230000,0.0,***,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,***,0
45654,PPGFD,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,1992.0,INSTRUÇÃO,AEROCLUBE DE SANTA CATARINA,FORA DE AERODROMO,TÁXI,SUBSTANCIAL,0
45656,PTCQA,AVIÃO,BEECH AIRCRAFT,A36TC,BE36,PISTÃO,MONOMOTOR,1656,1981.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,***,0
45658,PRPHE,AVIÃO,EMBRAER,EMB-500,E50P,JATO,BIMOTOR,4750,2010.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,LEVE,0
45667,PTRTW,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,2155,1983.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,NENHUM,0
45668,PRSEF,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307,2003.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,NENHUM,0
45669,PTYDI,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76A,S76,TURBOEIXO,BIMOTOR,4763,1980.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,SUBSTANCIAL,0
45670,PRMBQ,AVIÃO,AIRBUS INDUSTRIE,A320-232,A320,JATO,BIMOTOR,77000,2001.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,ARREMETIDA NO SOLO,LEVE,0
45671,PTDIQ,AVIÃO,BEECH AIRCRAFT,B90,BE9L,TURBOÉLICE,BIMOTOR,4377,1968.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,NENHUM,0
45677,PTOTV,AVIÃO,PIPER AIRCRAFT,PA-31T1,PAY1,TURBOÉLICE,BIMOTOR,3946,1981.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,LEVE,0
45678,PRCOB,AVIÃO,CESSNA AIRCRAFT,210L,C210,PISTÃO,MONOMOTOR,1724,1974.0,ADMINISTRAÇÃO DIRETA,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,LEVE,0
45680,PRAZX,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-202,AT72,TURBOÉLICE,BIMOTOR,22000,1993.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,NENHUM,0
45681,PRACG,AVIÃO,BOEING COMPANY,767-316F,B763,JATO,BIMOTOR,186880,2000.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,SUBSTANCIAL,0
45682,PRMEU,HELICÓPTERO,EUROCOPTER DEUTSCHLAND,EC 135P2+,EC35,TURBOEIXO,BIMOTOR,2910,2007.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,NENHUM,0
45684,PTHFS,HELICÓPTERO,ROBINSON HELICOPTER,R44,R44,PISTÃO,MONOMOTOR,1088,1993.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,NENHUM,0
45685,PRCHX,HELICÓPTERO,EUROCOPTER FRANCE,EC 225 LP,EC25,TURBOEIXO,BIMOTOR,11000,2009.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,NENHUM,0
45686,PPPJN,AVIÃO,EMBRAER,ERJ 190-100 LR,E190,JATO,BIMOTOR,50300,2011.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,LEVE,0
45689,PPKKA,AVIÃO,EMBRAER,EMB-500,E50P,JATO,BIMOTOR,4750,2010.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,NENHUM,0
45689,PPOFF,AVIÃO,CIRRUS DESIGN,SR22,SR22,PISTÃO,MONOMOTOR,1542,2010.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,ESTACIONAMENTO,NENHUM,0
45689,PTOTG,AVIÃO,BEECH AIRCRAFT,C90A,BE9L,TURBOÉLICE,BIMOTOR,4694,1985.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,NENHUM,0
45691,PTYND,HELICÓPTERO,AGUSTA,A109E,A109,TURBOEIXO,BIMOTOR,2850,1999.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,LEVE,0
45692,PPYOF,AVIÃO,CESSNA AIRCRAFT,525,C525,JATO,BIMOTOR,4717,2000.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,LEVE,0
45693,PRSEF,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307,2003.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,LEVE,0
45694,PTVIY,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,2155,1989.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,NENHUM,0
45695,PRCHK,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307,2007.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,NENHUM,0
45696,PPGRB,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,1993.0,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,LEVE,0
45697,PRPSF,AVIÃO,EMBRAER,EMB-145EP,E145,JATO,BIMOTOR,20990,1997.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,NENHUM,0
45698,PPJAJ,HELICÓPTERO,HELIBRAS,AS 350 B2,AS50,TURBOEIXO,MONOMOTOR,2250,2010.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,VOO A BAIXA ALTURA,NENHUM,0
45699,PRGTA,AVIÃO,BOEING COMPANY,737-8EH,B738,JATO,BIMOTOR,79000,2006.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,NENHUM,0
45700,PPPJL,AVIÃO,EMBRAER,ERJ 190-100 LR,E190,JATO,BIMOTOR,50300,2008.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,NENHUM,0
45701,PRDEP,AVIÃO,CIRRUS DESIGN,SR22,SR22,PISTÃO,MONOMOTOR,1542,2008.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,LEVE,0
45703,N844MH,AVIÃO,BOEING COMPANY,767-432ER,***,JATO,BIMOTOR,204120,2002.0,***,FORA DE AERODROMO,FORA DE AERODROMO,ESTACIONAMENTO,LEVE,0
45705,PRWJB,AVIÃO,BOEING COMPANY,737-341,B733,JATO,BIMOTOR,61235,1991.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,LEVE,0
45706,PTEVN,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,2073,1979.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,NENHUM,0
45707,PRCOC,AVIÃO,PIPER AIRCRAFT,PA-46-350P,PA46,PISTÃO,MONOMOTOR,1950,1992.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,LEVE,0
45709,PRMHX,AVIÃO,AIRBUS INDUSTRIE,A320-214,A320,JATO,BIMOTOR,77000,2008.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,LEVE,0
45710,PRWJB,AVIÃO,BOEING COMPANY,737-341,B733,JATO,BIMOTOR,61235,1991.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,LEVE,0
45711,PPSGB,AVIÃO,CIRRUS DESIGN,SR20,SR20,PISTÃO,MONOMOTOR,1315,2002.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,ESTACIONAMENTO,LEVE,0
45712,PRBGA,HELICÓPTERO,EUROCOPTER FRANCE,EC 225 LP,EC25,TURBOEIXO,BIMOTOR,11000,2010.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,LEVE,0
45713,PTGMM,AVIÃO,CIRRUS DESIGN,SR22,SR22,PISTÃO,MONOMOTOR,1542,2003.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,***,0
45714,PTOLL,AVIÃO,BEECH AIRCRAFT,58,BE58,PISTÃO,BIMOTOR,2449,1979.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DESCIDA,LEVE,0
45715,PPAMX,AVIÃO,CESSNA AIRCRAFT,208B,C208,TURBOÉLICE,MONOMOTOR,3969,2011.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,NENHUM,0
45718,PTTIC,AVIÃO,PIAGGIO AERO INDUSTRIES,P.180,P180,TURBOÉLICE,BIMOTOR,5239,2011.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,LEVE,0
45719,PTJEH,AVIÃO,PIPER AIRCRAFT,PA-31-350,PA31,PISTÃO,BIMOTOR,3175,1973.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,NENHUM,0
45727,PPJCA,AVIÃO,BEECH AIRCRAFT,F90,BE9T,TURBOÉLICE,BIMOTOR,4967,1981.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,LEVE,0
45728,PROPB,AVIÃO,BEECH AIRCRAFT,B200,BE20,TURBOÉLICE,BIMOTOR,5670,1987.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,NENHUM,0
45729,PTVAN,AVIÃO,EMBRAER,EMB-810D,PA34,PISTÃO,BIMOTOR,2155,1985.0,TÁXI AÉREO,CAMPO GRANDE,FAZENDA DAMARO,CORRIDA APÓS POUSO,SUBSTANCIAL,0
45730,PPGGC,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,1992.0,INSTRUÇÃO,MARICÁ,FORA DE AERODROMO,POUSO,LEVE,0
