codigo_ocorrencia2,aeronave_matricula,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_ano_fabricacao,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
47936,PUEDR,ULTRALEVE,ANDRE A.FERDINAND,BUCKER,ULAC,PISTÃO,MONOMOTOR,700,2005.0,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,ARREMETIDA NO SOLO,LEVE,0
47938,CSTOF,AVIÃO,AIRBUS INDUSTRIE,A330-223,A332,JATO,BIMOTOR,230000,0.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,LEVE,0
47939,PTEMT,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,2073,1977.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,NENHUM,0
47965,PUAUN,ULTRALEVE,ORION LTDA,F1A EAGLE,ULAC,PISTÃO,MONOMOTOR,450,2005.0,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,SUBSTANCIAL,0
47966,PTGUR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,1980.0,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,DESTRUÍDA,1
47979,PUBRA,ULTRALEVE,FABRICACAO PROPRIA,EXPERIMENTAL,ULAC,PISTÃO,MONOMOTOR,0,0.0,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,SUBSTANCIAL,0
47980,PTCDI,AVIÃO,CESSNA AIRCRAFT,182G,C182,PISTÃO,MONOMOTOR,1270,1964.0,PARTICULAR,PARANAÍBA,COXIM,CRUZEIRO,SUBSTANCIAL,0
47981,PRVAR,AVIÃO,AIR TRACTOR,AT-502B,AT5T,TURBOÉLICE,MONOMOTOR,3629,2012.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,DESTRUÍDA,1
47983,PPEIH,HELICÓPTERO,EUROCOPTER FRANCE,AS 350 BA,AS50,TURBOEIXO,MONOMOTOR,2100,1983.0,ADMINISTRAÇÃO DIRETA,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,SUBSTANCIAL,0
47992,PPGDO,AVIÃO,CIA AERONAUTICA PAULISTA,CAP-4,PAUL,PISTÃO,MONOMOTOR,587,1948.0,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,SUBSTANCIAL,0
